final {'ceiling': 0.8364, 'PSU2': 0.8315, 'PSU_linear': 0.7179, 'PSU2_world': 0.8135, 'PCA': -0.0006, 'kmeans3': -0.0004, 'DMD': 0.3098, 'SVDCE': 0.6932, 'rho_own': [0.615104345169079, 0.5414286401322806, 0.14018697696745092, 0.11101210266056179], 'rho_world': [0.3214358798469789, 0.2787052087972676, 0.09569311905522057, 0.08644562540792759], 'rho_linear': [0.5510714559815957, 0.1365741843809991, 0.1036435212263033, 0.07833645436210884], 'PSU2_reparam': 0.8136, 'PCA_reparam': 0.006, 'ceiling_cat': 0.8971, 'PSU2_cat': 0.888}
{'tau': 1, 'kind': 'own2', 'rho': [0.936, 0.8132, 0.5922, 0.5109, 0.4429, 0.4245, 0.3286, 0.3072, 0.2466, 0.2246], 'thr': 0.067, 'detectable': 16, 'gap_at': 2}
{'tau': 16, 'kind': 'own2', 'rho': [0.614, 0.5342, 0.1228, 0.0905, 0.0823, 0.0699, 0.0584, 0.0522, 0.046, 0.0456], 'thr': 0.0833, 'detectable': 4, 'gap_at': 2}
{'tau': 24, 'kind': 'own2', 'rho': [0.4892, 0.4216, 0.0879, 0.0822, 0.0681, 0.0625, 0.0563, 0.0543, 0.0527, 0.0495], 'thr': 0.0952, 'detectable': 2, 'gap_at': 2}
{'tau': 16, 'kind': 'world2', 'rho': [0.3103, 0.261, 0.0643, 0.0586, 0.0534, 0.0464, 0.0451, 0.0435, 0.0396, 0.0375], 'thr': 0.0779, 'detectable': 2, 'gap_at': 2}
{'tau': 16, 'kind': 'linear', 'rho': [0.5481, 0.1274, 0.0865, 0.0582, 0.0435, 0.0427, 0.0411, 0.0406, 0.0381, 0.0356], 'thr': 0.0653, 'detectable': 3, 'gap_at': 1}
5 {'step': 0, 'excess': 0.0896, 'rho1': 0.7863, 'rho2': 0.7466, 'rho3': 0.6038, 'thr': 0.089, 'ceiling': -0.0062, 'psu2': -0.0019, 'psu_lin': -0.0018, 'rho2_lin': 0.3975} 112
5 {'step': 250, 'excess': 0.0729, 'rho1': 0.9456, 'rho2': 0.8624, 'rho3': 0.5141, 'thr': 0.0996, 'ceiling': 0.1845, 'psu2': 0.0052, 'psu_lin': 0.0036, 'rho2_lin': 0.7784} 121
5 {'step': 500, 'excess': 0.035, 'rho1': 0.6183, 'rho2': 0.5531, 'rho3': 0.53, 'thr': 0.0859, 'ceiling': 0.4387, 'psu2': 0.4049, 'psu_lin': 0.0053, 'rho2_lin': 0.3747} 129
5 {'step': 750, 'excess': 0.0142, 'rho1': 0.6181, 'rho2': 0.5244, 'rho3': 0.2551, 'thr': 0.079, 'ceiling': 0.614, 'psu2': 0.6038, 'psu_lin': 0.3865, 'rho2_lin': 0.2049} 139
5 {'step': 1000, 'excess': 0.0086, 'rho1': 0.6263, 'rho2': 0.4663, 'rho3': 0.2308, 'thr': 0.0775, 'ceiling': 0.6675, 'psu2': 0.663, 'psu_lin': 0.3977, 'rho2_lin': 0.2325} 148
5 {'step': 1250, 'excess': 0.0072, 'rho1': 0.6283, 'rho2': 0.4881, 'rho3': 0.1585, 'thr': 0.0778, 'ceiling': 0.7446, 'psu2': 0.7353, 'psu_lin': 0.4823, 'rho2_lin': 0.1373} 157
5 {'step': 1500, 'excess': 0.0065, 'rho1': 0.6265, 'rho2': 0.4927, 'rho3': 0.1704, 'thr': 0.0802, 'ceiling': 0.7258, 'psu2': 0.7165, 'psu_lin': 0.6039, 'rho2_lin': 0.1284} 166
5 {'step': 1750, 'excess': 0.0051, 'rho1': 0.578, 'rho2': 0.4434, 'rho3': 0.1675, 'thr': 0.0811, 'ceiling': 0.7286, 'psu2': 0.7214, 'psu_lin': 0.3863, 'rho2_lin': 0.1704} 172
5 {'step': 2000, 'excess': 0.0044, 'rho1': 0.616, 'rho2': 0.4667, 'rho3': 0.1669, 'thr': 0.0797, 'ceiling': 0.7267, 'psu2': 0.7208, 'psu_lin': 0.5101, 'rho2_lin': 0.1178} 182
5 {'step': 2250, 'excess': 0.0047, 'rho1': 0.5978, 'rho2': 0.4584, 'rho3': 0.1617, 'thr': 0.0788, 'ceiling': 0.7402, 'psu2': 0.7339, 'psu_lin': 0.4506, 'rho2_lin': 0.1116} 191
5 {'step': 2500, 'excess': 0.0037, 'rho1': 0.6188, 'rho2': 0.5019, 'rho3': 0.1921, 'thr': 0.0811, 'ceiling': 0.7643, 'psu2': 0.7589, 'psu_lin': 0.4698, 'rho2_lin': 0.1402} 200
5 {'step': 2750, 'excess': 0.0037, 'rho1': 0.6102, 'rho2': 0.4934, 'rho3': 0.132, 'thr': 0.0794, 'ceiling': 0.7556, 'psu2': 0.7479, 'psu_lin': 0.5187, 'rho2_lin': 0.1355} 210
5 {'step': 3000, 'excess': 0.0034, 'rho1': 0.6109, 'rho2': 0.5046, 'rho3': 0.1342, 'thr': 0.0824, 'ceiling': 0.7884, 'psu2': 0.7804, 'psu_lin': 0.7203, 'rho2_lin': 0.2136} 219
5 {'step': 3250, 'excess': 0.0032, 'rho1': 0.6204, 'rho2': 0.5156, 'rho3': 0.1565, 'thr': 0.0844, 'ceiling': 0.7927, 'psu2': 0.7871, 'psu_lin': 0.4519, 'rho2_lin': 0.1562} 225
5 {'step': 3500, 'excess': 0.0034, 'rho1': 0.611, 'rho2': 0.5043, 'rho3': 0.133, 'thr': 0.0815, 'ceiling': 0.7907, 'psu2': 0.7853, 'psu_lin': 0.4574, 'rho2_lin': 0.1038} 234
5 {'step': 3750, 'excess': 0.003, 'rho1': 0.6173, 'rho2': 0.5143, 'rho3': 0.1181, 'thr': 0.0847, 'ceiling': 0.8052, 'psu2': 0.7988, 'psu_lin': 0.518, 'rho2_lin': 0.1018} 239
